time,cmd_lin_x,cmd_ang_z
1746638478.786553,0.15,0.0
1746638479.1786664,0.15,0.0
1746638479.6633313,0.15,0.0
1746638480.0119317,0.15,0.0
1746638480.3698208,0.15,0.0
1746638480.7962255,0.15,0.0
1746638481.3008668,0.15,0.0
1746638481.7752483,0.15,0.0
1746638482.2192266,0.15,0.0
1746638482.5885305,0.15,0.0
1746638483.0942016,0.15,0.0
1746638483.4994311,0.15,0.0
1746638484.2031746,0.15,0.0
1746638484.579213,0.15,0.0
1746638484.9710345,0.15,0.0
1746638485.3797822,0.15,0.0
1746638485.683514,0.15,0.0
1746638486.1692545,0.15,0.0
1746638486.5684824,0.15,0.0
1746638486.8635375,0.15,0.0
1746638487.2626863,0.15,0.0
1746638487.6017156,0.15,0.0
1746638487.8846767,0.15,0.0
1746638488.1884196,0.15,0.0
1746638488.4969053,0.15,0.0
1746638488.7780824,0.15,0.0
1746638489.1002018,0.15,0.0
1746638489.569804,0.15,0.0
1746638489.8775918,0.15,0.0
1746638490.2074401,0.15,0.0
1746638490.5698109,0.15,0.0
1746638490.8010666,0.15,0.0
1746638491.2652543,0.15,0.0
1746638491.7635176,0.1,-0.5
1746638492.1947515,0.1,-0.5
1746638492.589463,0.1,-0.5
1746638492.9652388,0.1,-0.5
1746638493.290875,0.1,-0.5
1746638493.6765351,0.1,-0.5
1746638494.0672722,0.1,-0.5
1746638494.3941374,0.1,-0.5
1746638494.7681932,0.15,0.0
1746638495.1734536,0.15,0.0
1746638495.4892237,0.15,0.0
1746638495.8329434,0.15,0.0
1746638496.2738523,0.15,0.0
1746638496.6103208,0.15,0.0
1746638496.9895682,0.15,0.0
1746638497.278277,0.15,0.0
1746638497.6040745,0.15,0.0
1746638498.0131686,0.15,0.0
1746638498.3729393,0.15,0.0
1746638498.691347,0.15,0.0
1746638498.9952755,0.15,0.0
1746638499.279883,0.15,0.0
1746638499.580645,0.15,0.0
1746638499.9962401,-0.05,-0.7603047821651611
1746638500.382232,0.0,0.3
1746638500.7703204,0.0,0.3
1746638501.0649655,0.0,0.3
1746638501.2956812,0.0,0.3
1746638501.6632285,0.0,0.3
